sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
4.046;175;;180rounds;Yes;No;2;0.73828;0.87833;0.00000;0.21194;1.61662;Group8_BoaParty@0;SlavaAgent@1;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.0;party1_utility.xml;party2_utility.xml
3.445;174;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;SlavaAgent@2;Group8_BoaParty@3;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.0;0.9041140069845697;party1_utility.xml;party2_utility.xml
1.913;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;TheNegotiatorReloaded@4;Group8_BoaParty@5;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.118;6;;180rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheFawkes@6;Group8_BoaParty@7;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;1.0;party1_utility.xml;party2_utility.xml
4.136;129;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;IAMhaggler2012@8;Group8_BoaParty@9;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.9285654723948509;party1_utility.xml;party2_utility.xml
4.595;180;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;NiceTitForTat@10;Group8_BoaParty@11;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.8564909885811369;party1_utility.xml;party2_utility.xml
1.020;181;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;Gahboninho@12;Group8_BoaParty@13;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.9285654723948509;party1_utility.xml;party2_utility.xml
2.071;178;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;Yushu@14;Group8_BoaParty@15;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.960;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;KLH@16;Group8_BoaParty@17;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
1.308;180;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;Group8_BoaParty@18;TheNegotiatorReloaded@19;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.0;party1_utility.xml;party2_utility.xml
3.723;175;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;SlavaAgent@20;TheNegotiatorReloaded@21;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.0;0.0;party1_utility.xml;party2_utility.xml
3.514;180;;180rounds;Yes;No;2;0.75700;0.81833;0.06285;0.17477;1.57534;TheNegotiatorReloaded@22;SlavaAgent@23;0.8183333333333332;0.7570048124820374;0.8183333333333332;0.7570048124820374;0.0;0.0;party1_utility.xml;party2_utility.xml
0.051;4;;180rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheFawkes@24;SlavaAgent@25;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
5.872;168;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;IAMhaggler2012@26;SlavaAgent@27;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.0;0.0;party1_utility.xml;party2_utility.xml
6.130;179;;180rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;NiceTitForTat@28;SlavaAgent@29;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;party1_utility.xml;party2_utility.xml
2.186;181;;180rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;Gahboninho@30;SlavaAgent@31;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;party1_utility.xml;party2_utility.xml
3.399;179;;180rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;Yushu@32;SlavaAgent@33;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;party1_utility.xml;party2_utility.xml
2.526;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;KLH@34;SlavaAgent@35;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.763;181;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;Group8_BoaParty@36;TheFawkes@37;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.0;party1_utility.xml;party2_utility.xml
2.864;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;SlavaAgent@38;TheFawkes@39;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.746;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;TheNegotiatorReloaded@40;TheFawkes@41;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.022;4;;180rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheFawkes@42;TheNegotiatorReloaded@43;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
4.097;176;;180rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;IAMhaggler2012@44;TheNegotiatorReloaded@45;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;party1_utility.xml;party2_utility.xml
4.147;180;;180rounds;Yes;No;2;0.67917;0.81196;0.14033;0.15747;1.49113;NiceTitForTat@46;TheNegotiatorReloaded@47;0.6791666666666666;0.8119626015319312;0.6791666666666666;0.8119626015319312;0.0;0.0;party1_utility.xml;party2_utility.xml
0.657;181;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;Gahboninho@48;TheNegotiatorReloaded@49;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.0;0.0;party1_utility.xml;party2_utility.xml
1.523;178;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;Yushu@50;TheNegotiatorReloaded@51;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.0;0.0;party1_utility.xml;party2_utility.xml
0.731;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;KLH@52;TheNegotiatorReloaded@53;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
2.790;111;;180rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;Group8_BoaParty@54;IAMhaggler2012@55;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.0;party1_utility.xml;party2_utility.xml
7.842;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;SlavaAgent@56;IAMhaggler2012@57;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
5.326;177;;180rounds;Yes;No;2;0.54227;0.91167;0.07924;0.40653;1.45394;TheNegotiatorReloaded@58;IAMhaggler2012@59;0.9116666666666667;0.5422699184244845;0.9116666666666667;0.5422699184244845;0.0;0.0;party1_utility.xml;party2_utility.xml
