sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0.848;181;;180rounds;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;Gahboninho@32;Yushu@33;0.975;0.49464690002105177;0.975;0.49464690002105177;0.0;0.0;party1_utility.xml;party2_utility.xml
0.799;172;;180rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;KLH@34;Yushu@35;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.0;party1_utility.xml;party2_utility.xml
1.164;180;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;Group8_BoaParty@36;TheNegotiatorReloaded@37;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.0;party1_utility.xml;party2_utility.xml
1.325;178;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;Yushu@38;TheNegotiatorReloaded@39;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.0;0.0;party1_utility.xml;party2_utility.xml
2.336;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;SlavaAgent@40;TheNegotiatorReloaded@41;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
2.340;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;TheNegotiatorReloaded@42;SlavaAgent@43;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.082;6;;180rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheFawkes@44;SlavaAgent@45;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
4.445;161;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;IAMhaggler2012@46;SlavaAgent@47;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.0;0.0;party1_utility.xml;party2_utility.xml
4.928;179;;180rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;NiceTitForTat@48;SlavaAgent@49;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;party1_utility.xml;party2_utility.xml
1.873;181;;180rounds;Yes;No;2;0.72167;0.95238;0.02381;0.06766;1.67404;Gahboninho@50;SlavaAgent@51;0.7216666666666667;0.9523769815965673;0.7216666666666667;0.9523769815965673;0.0;0.0;party1_utility.xml;party2_utility.xml
1.872;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;KLH@52;SlavaAgent@53;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.770;181;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;Group8_BoaParty@54;TheFawkes@55;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.0;party1_utility.xml;party2_utility.xml
0.886;179;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;Yushu@56;TheFawkes@57;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.0;0.0;party1_utility.xml;party2_utility.xml
1.913;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;SlavaAgent@58;TheFawkes@59;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.667;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;TheNegotiatorReloaded@60;TheFawkes@61;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
