sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
2.633;111;;180rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;Group8_BoaParty@48;IAMhaggler2012@49;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.0;party1_utility.xml;party2_utility.xml
5.306;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;SlavaAgent@50;IAMhaggler2012@51;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
4.942;177;;180rounds;Yes;No;2;0.54227;0.91167;0.07924;0.40653;1.45394;TheNegotiatorReloaded@52;IAMhaggler2012@53;0.9116666666666667;0.5422699184244845;0.9116666666666667;0.5422699184244845;0.0;0.0;party1_utility.xml;party2_utility.xml
0.018;4;;180rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheFawkes@54;IAMhaggler2012@55;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
2.467;114;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;IAMhaggler2012@56;TheFawkes@57;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
4.681;180;;180rounds;Yes;No;2;0.72167;0.92793;0.04826;0.06334;1.64959;NiceTitForTat@58;TheFawkes@59;0.7216666666666667;0.9279255161862858;0.7216666666666667;0.9279255161862858;0.0;0.0;party1_utility.xml;party2_utility.xml
0.160;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Gahboninho@60;TheFawkes@61;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
1.208;179;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;Yushu@62;TheFawkes@63;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.0;0.0;party1_utility.xml;party2_utility.xml
4.813;181;;180rounds;Yes;No;2;0.69002;0.87833;0.00608;0.25616;1.56835;Group8_BoaParty@64;NiceTitForTat@65;0.8783333333333334;0.6900190691355816;0.8783333333333334;0.6900190691355816;0.8783333333333334;0.0;party1_utility.xml;party2_utility.xml
6.128;174;;180rounds;Yes;No;2;0.69002;0.87833;0.00608;0.25616;1.56835;SlavaAgent@66;NiceTitForTat@67;0.8783333333333334;0.6900190691355816;0.8783333333333334;0.6900190691355816;0.0;0.0;party1_utility.xml;party2_utility.xml
4.622;179;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;TheNegotiatorReloaded@68;NiceTitForTat@69;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.0;party1_utility.xml;party2_utility.xml
0.054;4;;180rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheFawkes@70;NiceTitForTat@71;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
2.568;46;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;IAMhaggler2012@72;NiceTitForTat@73;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.0;0.0;party1_utility.xml;party2_utility.xml
10.186;180;;180rounds;Yes;No;2;0.69004;0.69500;0.18674;0.25494;1.38504;NiceTitForTat@74;IAMhaggler2012@75;0.695;0.6900350139569214;0.695;0.6900350139569214;0.0;0.0;party1_utility.xml;party2_utility.xml
3.591;181;;180rounds;Yes;No;2;0.72181;0.86583;0.02068;0.22200;1.58764;Gahboninho@76;IAMhaggler2012@77;0.8658333333333332;0.7218053051923241;0.8658333333333332;0.7218053051923241;0.0;0.0;party1_utility.xml;party2_utility.xml
3.827;136;;180rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;Yushu@78;IAMhaggler2012@79;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.0;party1_utility.xml;party2_utility.xml
0.685;179;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;Group8_BoaParty@80;Gahboninho@81;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.0;party1_utility.xml;party2_utility.xml
2.363;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;SlavaAgent@82;Gahboninho@83;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.755;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;TheNegotiatorReloaded@84;Gahboninho@85;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.020;4;;180rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheFawkes@86;Gahboninho@87;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
3.653;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;IAMhaggler2012@88;Gahboninho@89;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
3.905;179;;180rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;NiceTitForTat@90;Gahboninho@91;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;party1_utility.xml;party2_utility.xml
3.740;180;;180rounds;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;Gahboninho@92;NiceTitForTat@93;0.975;0.49464690002105177;0.975;0.49464690002105177;0.0;0.0;party1_utility.xml;party2_utility.xml
5.074;176;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;Yushu@94;NiceTitForTat@95;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.0;party1_utility.xml;party2_utility.xml
1.420;178;;180rounds;Yes;No;2;0.72181;0.86583;0.02068;0.22200;1.58764;Group8_BoaParty@96;Yushu@97;0.8658333333333332;0.7218053051923241;0.8658333333333332;0.7218053051923241;0.8658333333333332;0.0;party1_utility.xml;party2_utility.xml
3.262;181;;180rounds;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;SlavaAgent@98;Yushu@99;0.975;0.49464690002105177;0.975;0.49464690002105177;0.0;0.0;party1_utility.xml;party2_utility.xml
1.516;173;;180rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;TheNegotiatorReloaded@100;Yushu@101;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.0;party1_utility.xml;party2_utility.xml
0.022;4;;180rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheFawkes@102;Yushu@103;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
3.226;132;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;IAMhaggler2012@104;Yushu@105;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
6.189;180;;180rounds;Yes;No;2;0.59855;0.66000;0.23790;0.35289;1.25855;NiceTitForTat@106;Yushu@107;0.66;0.5985537713980951;0.66;0.5985537713980951;0.0;0.0;party1_utility.xml;party2_utility.xml
1.263;181;;180rounds;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;Gahboninho@108;Yushu@109;0.975;0.49464690002105177;0.975;0.49464690002105177;0.0;0.0;party1_utility.xml;party2_utility.xml
1.278;179;;180rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;Yushu@110;Gahboninho@111;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;party1_utility.xml;party2_utility.xml
